0,1,2,3
#A-C=-9.22,3.07,243.71,1594399650.8804493
#M-C=139.50,-206.50,2.33,1594399650.8903491
#G-C=-250.00,1.00,-2.00,1594399650.8959715
#A-C=-10.24,3.07,243.71,1594399650.900146
#M-C=140.00,-206.17,2.83,1594399650.90628
#G-C=-1.00,3.00,7.00,1594399650.910799
#A-C=-9.22,3.07,242.69,1594399650.9202232
#M-C=139.50,-206.67,3.17,1594399650.9277856
#G-C=-5.00,-4.00,4.00,1594399650.9348385
#A-C=-8.19,2.05,242.69,1594399650.9402654
#M-C=139.67,-206.67,2.67,1594399650.9463224
#G-C=-3.00,-255.00,-255.00,1594399650.9515462
#A-C=-8.19,2.05,243.71,1594399650.9603066
#M-C=139.67,-206.50,3.17,1594399650.9663568
#G-C=15.00,-3.00,6.00,1594399650.9720068
#A-C=-9.22,3.07,241.66,1594399650.9803612
#M-C=139.00,-205.83,2.67,1594399650.9861333
#G-C=8.00,2.00,1.00,1594399650.991745
#A-C=-8.19,4.10,242.69,1594399651.000388
#M-C=139.50,-206.33,2.83,1594399651.0062554
#G-C=4.00,3.00,-3.00,1594399651.0116081
#A-C=-9.22,3.07,242.69,1594399651.020203
#M-C=139.50,-206.33,3.00,1594399651.026197
#G-C=17.00,1.00,-12.00,1594399651.0314844
#A-C=-10.24,4.10,240.64,1594399651.0402331
#M-C=140.00,-206.17,3.00,1594399651.046343
#G-C=9.00,4.00,2.00,1594399651.0514889
#A-C=-9.22,3.07,241.66,1594399651.060315
#M-C=139.50,-206.33,2.83,1594399651.0661983
#G-C=-6.00,-9.00,-6.00,1594399651.0713155
#A-C=-9.22,3.07,243.71,1594399651.0804057
#M-C=139.50,-206.00,3.17,1594399651.0861502
#G-C=-7.00,3.00,4.00,1594399651.0912414
#A-C=-8.19,3.07,244.74,1594399651.1003883
#M-C=139.67,-205.83,3.00,1594399651.1063643
#G-C=-2.00,-2.00,-1.00,1594399651.1117454
#A-C=-9.22,4.10,243.71,1594399651.1203694
#M-C=139.33,-206.50,2.83,1594399651.1274655
#G-C=6.00,-254.00,-5.00,1594399651.1325667
#A-C=-9.22,3.07,241.66,1594399651.14014
#M-C=140.00,-206.33,2.83,1594399651.1465547
#G-C=248.00,-5.00,1.00,1594399651.152739
#A-C=-9.22,3.07,241.66,1594399651.1612992
#M-C=139.33,-206.50,2.50,1594399651.1673877
#G-C=252.00,1.00,3.00,1594399651.173502
#A-C=-7.17,2.05,242.69,1594399651.1802268
#M-C=139.00,-206.50,2.50,1594399651.1861098
#G-C=12.00,-4.00,-7.00,1594399651.1914663
#A-C=-9.22,3.07,242.69,1594399651.2004378
#M-C=139.17,-206.33,2.83,1594399651.206513
#G-C=17.00,-1.00,-254.00,1594399651.212405
#A-C=-9.22,3.07,241.66,1594399651.2204876
#M-C=139.83,-206.33,2.67,1594399651.2268848
#G-C=5.00,3.00,2.00,1594399651.232048
#A-C=-9.22,3.07,242.69,1594399651.2402663
#M-C=139.17,-206.33,2.67,1594399651.2462013
#G-C=-6.00,-11.00,-2.00,1594399651.2511592
#A-C=-9.22,3.07,241.66,1594399651.2614167
#M-C=139.50,-206.67,2.50,1594399651.2677238
#G-C=-3.00,5.00,10.00,1594399651.2730846
#A-C=-9.22,3.07,242.69,1594399651.2801917
