0,1,2,3
#A-C=-7.17,18.43,237.57,1594397073.8657784
#M-C=-8.33,-304.83,-163.67,1594397073.8756227
#G-C=3.00,-7.00,-1.00,1594397073.8821251
#A-C=-10.24,18.43,242.69,1594397073.886775
#M-C=-8.67,-305.17,-163.83,1594397073.8911946
#G-C=4.00,-4.00,-4.00,1594397073.8957922
#A-C=-7.17,17.41,241.66,1594397073.9054444
#M-C=-8.00,-305.33,-164.00,1594397073.9119256
#G-C=9.00,-3.00,-3.00,1594397073.9186702
#A-C=-8.19,16.38,242.69,1594397073.9254668
#M-C=-8.50,-305.67,-164.17,1594397073.9312975
#G-C=3.00,-4.00,-7.00,1594397073.9364357
#A-C=-8.19,17.41,242.69,1594397073.945442
#M-C=-8.33,-305.17,-163.83,1594397073.9514675
#G-C=3.00,-5.00,1.00,1594397073.9565732
#A-C=-8.19,17.41,242.69,1594397073.965348
#M-C=-8.67,-304.83,-164.17,1594397073.971756
#G-C=-2.00,-6.00,3.00,1594397073.9771047
#A-C=-9.22,17.41,241.66,1594397073.9865465
#M-C=-7.83,-305.17,-164.33,1594397073.9935153
#G-C=0.00,-4.00,-6.00,1594397073.999366
#A-C=-9.22,17.41,242.69,1594397074.0054688
#M-C=-8.33,-305.33,-164.00,1594397074.0112922
#G-C=-3.00,-5.00,-5.00,1594397074.0163498
#A-C=-9.22,18.43,240.64,1594397074.0255032
#M-C=-7.83,-305.00,-163.67,1594397074.032868
#G-C=-4.00,-7.00,-5.00,1594397074.0375412
#A-C=-9.22,18.43,241.66,1594397074.0452797
#M-C=-8.50,-305.00,-164.00,1594397074.0514746
#G-C=5.00,-2.00,-1.00,1594397074.0566275
#A-C=-9.22,19.46,241.66,1594397074.065509
#M-C=-8.17,-305.00,-165.00,1594397074.071584
#G-C=8.00,-7.00,-3.00,1594397074.0769713
#A-C=-8.19,17.41,242.69,1594397074.0863576
#M-C=-8.33,-305.00,-164.17,1594397074.0940788
#G-C=9.00,-2.00,-1.00,1594397074.0993102
#A-C=-8.19,16.38,242.69,1594397074.1056275
#M-C=-8.50,-305.00,-164.67,1594397074.1134295
#G-C=8.00,-1.00,2.00,1594397074.1188393
#A-C=-8.19,17.41,240.64,1594397074.1265
#M-C=-8.33,-304.67,-164.33,1594397074.1346023
#G-C=0.00,-3.00,-2.00,1594397074.1397347
#A-C=-8.19,18.43,241.66,1594397074.145215
#M-C=-7.83,-305.33,-164.33,1594397074.151306
#G-C=0.00,-9.00,2.00,1594397074.1555777
#A-C=-8.19,18.43,240.64,1594397074.165446
#M-C=-8.33,-304.83,-164.17,1594397074.1718
#G-C=-4.00,-11.00,1.00,1594397074.178091
#A-C=-8.19,17.41,241.66,1594397074.1853685
#M-C=-8.17,-304.67,-165.00,1594397074.1912804
#G-C=256.00,-3.00,-3.00,1594397074.1975253
#A-C=-9.22,17.41,240.64,1594397074.205299
#M-C=-8.00,-304.83,-163.83,1594397074.2113688
#G-C=0.00,-9.00,-3.00,1594397074.2164845
#A-C=-8.19,17.41,242.69,1594397074.226407
#M-C=-8.17,-305.00,-164.50,1594397074.2327561
#G-C=4.00,-7.00,-1.00,1594397074.237484
#A-C=-8.19,18.43,241.66,1594397074.2453372
#M-C=-8.17,-304.83,-164.33,1594397074.2513957
